,Brand,Categorie,Description,Name,Photo,Price
437, Ultimate,diy,Apportez de la douceur dans votre clearomiseur avec le Bahamut signé Ultimate ©.,Concentré Bahamut 30 ml - Ultimate,https://www.evaps.fr/documents/media/images/contenu/bahamut-ultimate.jpg,13.90
388, Fonta Flava,diy,"Le concentré Fonta Flava Grape ❤ est ce qu'il se fait de mieux en arôme malaisien ▶ Frais et ▶ fruité, redécouvrez les saveurs d'un raisin sucré, habilement concocté par la marque 77 Flavor ©",Arôme Grape - Fonta Flava,https://www.evaps.fr/documents/media/images/contenu/arome-grape-fonta-flava.jpg,5.90
392, Fonta Flava,diy,Redécouvrez la sensation d'une boisson à l'orange ▶ rafraîchissante et ▶ pétillante dans l'arôme concentré Fonta Flava Orange ❤,Arôme Orange - Fonta Flava,https://www.evaps.fr/documents/media/images/contenu/arome-orange-fonta-flava.jpg,5.90
267, Bubble Monster,e_liquide,"Rafraîchissez vous avec le e-liquide Vimto Bubble Monster ❤, savant mélange de raisin juteux et de bubble gum bien sucré.",Vimto 100ml - Bubble Monster,https://www.evaps.fr/documents/media/images/contenu/vimto-bubble-monster.jpg,29.90
385, Diy Monster,diy,"Régalez vos papilles avec l'arôme Diy Monster Orangester 10ml ❤ : délicieuse et gourmande pêche jaune, enrobée de crème fouettée sucrée.",Concentré Orangester - Diy Monster,https://www.evaps.fr/documents/media/images/contenu/concentre-orangester-diy-monster.jpg,5.50
390, Maori,diy,"Osez de nouvelles saveurs avec l'arôme Maori Fai Full Moon ❤, une recette délicieusement originale, composée d'un thé vert glacé accompagné de feuilles d'hibiscus, pour un résultat étonnant et rafraîchissant.",Concentré Fai - Maori,https://www.evaps.fr/documents/media/images/contenu/concentre-fai-maori.jpg,5.90
289,liquide Po Po Pom 50ml - Liquideo,e_liquide,"Ajoutez du pep's dans votre clearomiseur avec le Liquideo Po Po Pom 50ml ❤ .Avec sa saveur de pomme verte juteuse et pétillante, ce eliquide pomme Liquideo risque de ne plus quitter votre clearomiseur.",E-liquide Po Po Pom 50ml - Liquideo,https://www.evaps.fr/documents/media/images/contenu/e-liquide-po-po-pom-liquideo-50ml.jpg,19.90
117, Wismec,e_cigarette,,Predator 228 - Wismec,https://www.evaps.fr/documents/media/images/contenu/predator-228-wismec.jpg,59.90
173, Bio France,e_liquide,"Bio France vous propose, avec cet eliquide Dragon Rouge French Malaisien, un panier rempli de délicieux fruits frais du marché : des fruits rouges, des fruits du verger, des agrumes et des fruits exotiques juteux et savoureux.Cet e-liquide bio fruité de la gamme French Malaisien est fabriqué en France par la marque Bio France.",Dragon Rouge French Malaisien - Bio France,https://www.evaps.fr/documents/media/images/contenu/dragon-rouge-french-malaisien-bio-france.jpg,5.50
411, BomberTech,diy,Rechargez facilement vos box bottom feed avec le Reloader BF Refiller Bombertech ❤,Reloader - BomberTech,https://www.evaps.fr/documents/media/images/contenu/reloader-bombertech.jpg,14.90
275, Cloud Vapor,e_liquide,Réveillez vos papilles en douceur avec le eliquide Bean Crush 50ml ZHC Cloud Vapor ❤ .Ce délicieux e-liquide français café et vanille est un nectar enivrant et doux qui fera fondre vos papilles de plaisir.,Bean Crush 50ml - Cloud Vapor,https://www.evaps.fr/documents/media/images/contenu/bean-crush-cloud-vapor-50ml.jpg,17.90
108, Wismec,e_cigarette,,Coffret Sinuous P80 / Elabo Mini - Wismec,https://www.evaps.fr/documents/media/images/contenu/sinuous-p80-elabo-mini-wismec.jpg,62.90
58,Priv - Smoktech,e_cigarette,Le  Kit X-Priv 225W TFV12 Prince Smoktech ❤ est un mélange de design et de performance qui comblera à coup sûr de nombreux vapoteurs.,Kit X-Priv - Smoktech,https://www.evaps.fr/documents/media/images/contenu/kit-x-priv-smoktech.jpg,79.90
398, Tropika,diy,Le concentré Maldives Tropika ❤ vous procurera une sensation pétillante de saveurs avec son mélange de citron acidulé et sucré.,Arôme Maldives 10ml - Tropika,https://www.evaps.fr/documents/media/images/contenu/arome-maldives-tropika.jpg,5.90
113, Vaporesso,e_cigarette,,Kit Veco Solo - Vaporesso,https://www.evaps.fr/documents/media/images/contenu/kit-veco-solo-vaporesso.jpg,27.90
169, Bee,e_liquide,L'eliquide Citrius Bee vous plonge dans un bonheur acidulé au délicieux goût d'un citron vert qui se suffit à lui même. Cet e-liquide français citron vert ne laissera pas indifférent les vapoteurs amateurs d'agrumes !Le Citrius Bee 10ml Solevan est fabriqué en France par la marque Solevan.,Citrius 10ml - Bee,https://www.evaps.fr/documents/media/images/contenu/citrius-10ml-bee.jpg,5.90
